Quantity,Name,Simple Name,Set,Card Number,Set Code,Printing,Condition,Language,Rarity,Product ID,SKU
1,Memory Lapse (JP Alternate Art),Memory Lapse,Strixhaven: Mystical Archives,79,STA,Normal,Near Mint,English,Rare,235399,4883323
1,Harmonize (JP Alternate Art),Harmonize,Strixhaven: Mystical Archives,115,STA,Normal,Near Mint,English,Rare,235320,4882833
1,Harmonize (JP Alternate Art),Harmonize,Strixhaven: Mystical Archives,115,STA,Normal,Near Mint,English,Rare,235320,4882833
1,Doom Blade (JP Alternate Art),Doom Blade,Strixhaven: Mystical Archives,91,STA,Normal,Near Mint,English,Rare,235307,4882208
1,Abundant Harvest (JP Alternate Art),Abundant Harvest,Strixhaven: Mystical Archives,111,STA,Normal,Near Mint,English,Rare,235174,4880983
1,Gods Willing (JP Alternate Art),Gods Willing,Strixhaven: Mystical Archives,70,STA,Normal,Near Mint,English,Rare,235512,4882648
1,Gift of Estates (JP Alternate Art),Gift of Estates,Strixhaven: Mystical Archives,69,STA,Normal,Near Mint,English,Rare,235475,4882588
1,Opt (JP Alternate Art),Opt,Strixhaven: Mystical Archives,82,STA,Normal,Near Mint,English,Uncommon,233492,4883623
1,Opt (JP Alternate Art),Opt,Strixhaven: Mystical Archives,82,STA,Normal,Near Mint,English,Uncommon,233492,4883623
1,Mana Tithe (JP Alternate Art),Mana Tithe,Strixhaven: Mystical Archives,71,STA,Normal,Near Mint,English,Rare,235607,4883263
1,Tendrils of Agony (JP Alternate Art),Tendrils of Agony,Strixhaven: Mystical Archives,97,STA,Normal,Near Mint,English,Rare,235647,4884438
1,Electrolyze (JP Alternate Art),Electrolyze,Strixhaven: Mystical Archives,123,STA,Normal,Near Mint,English,Rare,235315,4882348
1,Stone Rain (JP Alternate Art),Stone Rain,Strixhaven: Mystical Archives,108,STA,Normal,Near Mint,English,Rare,235292,4884128
1,Regrowth (JP Alternate Art),Regrowth,Strixhaven: Mystical Archives,119,STA,Normal,Near Mint,English,Rare,235613,4883808
1,Tezzeret's Gambit (JP Alternate Art),Tezzeret's Gambit,Strixhaven: Mystical Archives,84,STA,Normal,Near Mint,English,Rare,235639,4884498
1,Tezzeret's Gambit (JP Alternate Art),Tezzeret's Gambit,Strixhaven: Mystical Archives,84,STA,Normal,Near Mint,English,Rare,235639,4884498
1,Duress (JP Alternate Art),Duress,Strixhaven: Mystical Archives,92,STA,Normal,Near Mint,English,Uncommon,235142,4882288
1,Compulsive Research (JP Alternate Art),Compulsive Research,Strixhaven: Mystical Archives,77,STA,Normal,Near Mint,English,Rare,235488,4881533
3,Compulsive Research (JP Alternate Art),Compulsive Research,Strixhaven: Mystical Archives,77,STA,Normal,Near Mint,English,Rare,235488,4881533
1,Village Rites (JP Alternate Art),Village Rites,Strixhaven: Mystical Archives,98,STA,Normal,Near Mint,English,Uncommon,235324,4884748
1,Putrefy (JP Alternate Art),Putrefy,Strixhaven: Mystical Archives,126,STA,Normal,Near Mint,English,Rare,235362,4883748
1,Negate (JP Alternate Art),Negate,Strixhaven: Mystical Archives,81,STA,Normal,Near Mint,English,Uncommon,235304,4883563
1,Cultivate (JP Alternate Art),Cultivate,Strixhaven: Mystical Archives,114,STA,Normal,Near Mint,English,Uncommon,235279,4881668
1,Urza's Rage (JP Alternate Art),Urza's Rage,Strixhaven: Mystical Archives,110,STA,Normal,Near Mint,English,Rare,235236,4884688
2,Shock (JP Alternate Art),Shock,Strixhaven: Mystical Archives,107,STA,Normal,Near Mint,English,Uncommon,235172,4883938
1,Shock (JP Alternate Art),Shock,Strixhaven: Mystical Archives,107,STA,Normal,Near Mint,English,Uncommon,235172,4883938
2,Snakeskin Veil (JP Alternate Art),Snakeskin Veil,Strixhaven: Mystical Archives,120,STA,Normal,Near Mint,English,Uncommon,235189,4884068
1,Snakeskin Veil (JP Alternate Art),Snakeskin Veil,Strixhaven: Mystical Archives,120,STA,Normal,Near Mint,English,Uncommon,235189,4884068
1,Claim the Firstborn (JP Alternate Art),Claim the Firstborn,Strixhaven: Mystical Archives,100,STA,Normal,Near Mint,English,Uncommon,235621,4881473
1,Strategic Planning (JP Alternate Art),Strategic Planning,Strixhaven: Mystical Archives,83,STA,Normal,Near Mint,English,Uncommon,235160,4884198
2,Thrill of Possibility (JP Alternate Art),Thrill of Possibility,Strixhaven: Mystical Archives,109,STA,Normal,Near Mint,English,Uncommon,235426,4884558
1,Eliminate (JP Alternate Art),Eliminate,Strixhaven: Mystical Archives,93,STA,Normal,Near Mint,English,Uncommon,235643,4882408
1,Eliminate (JP Alternate Art),Eliminate,Strixhaven: Mystical Archives,93,STA,Normal,Near Mint,English,Uncommon,235643,4882408
1,Thrill of Possibility (JP Alternate Art),Thrill of Possibility,Strixhaven: Mystical Archives,109,STA,Normal,Near Mint,English,Uncommon,235426,4884558
1,Whirlwind Denial (JP Alternate Art),Whirlwind Denial,Strixhaven: Mystical Archives,86,STA,Normal,Near Mint,English,Uncommon,235287,4884868
1,Whirlwind Denial (JP Alternate Art),Whirlwind Denial,Strixhaven: Mystical Archives,86,STA,Normal,Near Mint,English,Uncommon,235287,4884868
1,Defiant Strike (JP Alternate Art),Defiant Strike,Strixhaven: Mystical Archives,66,STA,Normal,Near Mint,English,Uncommon,235333,4881963
1,Infuriate (JP Alternate Art),Infuriate,Strixhaven: Mystical Archives,104,STA,Normal,Near Mint,English,Uncommon,235419,4882953
1,Revitalize (JP Alternate Art),Revitalize,Strixhaven: Mystical Archives,72,STA,Normal,Near Mint,English,Uncommon,235492,4883868
1,Revitalize (JP Alternate Art),Revitalize,Strixhaven: Mystical Archives,72,STA,Normal,Near Mint,English,Uncommon,235492,4883868
1,Adventurous Impulse (JP Alternate Art),Adventurous Impulse,Strixhaven: Mystical Archives,112,STA,Normal,Near Mint,English,Uncommon,235299,4881043
2,Agonizing Remorse (JP Alternate Art),Agonizing Remorse,Strixhaven: Mystical Archives,87,STA,Normal,Near Mint,English,Uncommon,235520,4881103
2,Divine Gambit (JP Alternate Art),Divine Gambit,Strixhaven: Mystical Archives,67,STA,Normal,Near Mint,English,Uncommon,235500,4882148
